primaryTitle,startYear,genres,averageRating,numVotes
Game of Thrones,2011.0,"Action,Adventure,Drama",9.2,2530154
Breaking Bad,2008.0,"Crime,Drama,Thriller",9.5,2468242
Stranger Things,2016.0,"Drama,Fantasy,Horror",8.6,1650794
Friends,1994.0,"Comedy,Romance",8.9,1179466
The Walking Dead,2010.0,"Drama,Horror,Thriller",8.1,1179419
Sherlock,2010.0,"Crime,Drama,Mystery",9.0,1077011
Chernobyl,2019.0,"Drama,History,Thriller",9.3,1007566
The Big Bang Theory,2007.0,"Comedy,Romance",8.1,928752
Dexter,2006.0,"Crime,Drama,Mystery",8.6,908273
The Boys,2019.0,"Action,Comedy,Crime",8.6,829476
The Office,2005.0,Comedy,9.0,815606
Better Call Saul,2015.0,"Crime,Drama",9.0,798669
How I Met Your Mother,2005.0,"Comedy,Drama,Romance",8.3,774946
Peaky Blinders,2013.0,"Crime,Drama",8.7,751357
Squid Game,2021.0,"Action,Crime,Drama",7.9,741885
True Detective,2014.0,"Crime,Drama,Mystery",8.8,739703
Black Mirror,2011.0,"Crime,Drama,Mystery",8.7,726215
The Last of Us,2023.0,"Action,Adventure,Drama",8.5,721128
Rick and Morty,2013.0,"Adventure,Animation,Comedy",9.0,683270
Attack on Titan,2013.0,"Action,Adventure,Animation",9.1,680892
Lost,2004.0,"Adventure,Drama,Fantasy",8.3,663655
Prison Break,2005.0,"Action,Crime,Drama",8.3,655687
The Queen's Gambit,2020.0,Drama,8.5,649906
The Mandalorian,2019.0,"Action,Adventure,Fantasy",8.6,645324
Vikings,2013.0,"Action,Adventure,Drama",8.5,633813
The Witcher,2019.0,"Action,Adventure,Drama",7.9,616200
Money Heist,2017.0,"Action,Crime,Drama",8.2,595336
Band of Brothers,2001.0,"Action,Drama,History",9.4,584795
House,2004.0,Drama,8.7,584213
The Sopranos,1999.0,"Crime,Drama",9.2,562897
House of Cards,2013.0,"Drama,Thriller",8.6,555843
Westworld,2016.0,"Drama,Mystery,Sci-Fi",8.4,555146
Modern Family,2009.0,"Comedy,Drama,Romance",8.5,533132
Suits,2011.0,"Comedy,Drama",8.4,531874
Supernatural,2005.0,"Drama,Fantasy,Horror",8.4,530832
Dark,2017.0,"Crime,Drama,Mystery",8.7,527315
Daredevil,2015.0,"Action,Crime,Drama",8.6,521783
Narcos,2015.0,"Biography,Crime,Drama",8.7,519910
House of the Dragon,2022.0,"Action,Adventure,Drama",8.3,502600
Wednesday,2022.0,"Comedy,Crime,Fantasy",8.0,486049
The Simpsons,1989.0,"Animation,Comedy",8.6,464619
Loki,2021.0,"Action,Adventure,Fantasy",8.2,464175
Death Note,2006.0,"Animation,Crime,Drama",8.9,463849
Fargo,2014.0,"Crime,Drama,Thriller",8.8,462185
Mr. Robot,2015.0,"Crime,Drama,Thriller",8.5,460047
Arrow,2012.0,"Action,Adventure,Crime",7.5,459117
South Park,1997.0,"Animation,Comedy",8.7,439848
The Lord of the Rings: The Rings of Power,2022.0,"Action,Adventure,Drama",6.9,435612
Arcane,2021.0,"Action,Adventure,Animation",9.0,431387
Ted Lasso,2020.0,"Comedy,Drama,Sport",8.8,430747
Avatar: The Last Airbender,2005.0,"Action,Adventure,Animation",9.3,430163
The Wire,2002.0,"Crime,Drama,Thriller",9.3,423556
WandaVision,2021.0,"Action,Comedy,Fantasy",7.9,410669
Brooklyn Nine-Nine,2013.0,"Comedy,Crime",8.4,410067
Sex Education,2019.0,"Comedy,Drama,Romance",8.2,392291
Mindhunter,2017.0,"Crime,Drama,Mystery",8.6,389063
Lucifer,2016.0,"Crime,Drama,Fantasy",8.0,387111
Ozark,2017.0,"Crime,Drama,Thriller",8.4,386201
Family Guy,1999.0,"Animation,Comedy",8.1,385293
The Flash,2014.0,"Action,Adventure,Drama",7.5,383074
Seinfeld,1989.0,Comedy,8.9,380815
Homeland,2011.0,"Crime,Drama,Mystery",8.3,379395
The Vampire Diaries,2009.0,"Drama,Fantasy,Horror",7.7,377829
Severance,2022.0,"Drama,Mystery,Sci-Fi",8.7,371673
Grey's Anatomy,2005.0,"Drama,Romance",7.6,369992
Fallout,2024.0,"Action,Adventure,Drama",8.3,366359
American Horror Story,2011.0,"Drama,Horror,Sci-Fi",7.9,360114
You,2018.0,"Crime,Drama,Romance",7.6,359639
Sons of Anarchy,2008.0,"Crime,Drama,Thriller",8.5,350791
Succession,2018.0,"Comedy,Drama",8.8,344636
Arrested Development,2003.0,Comedy,8.6,341010
One Piece,1999.0,"Action,Adventure,Animation",9.0,340591
13 Reasons Why,2017.0,"Drama,Mystery,Thriller",7.4,336314
Orange Is the New Black,2013.0,"Comedy,Crime,Drama",8.0,334347
Shameless,2011.0,"Comedy,Drama",8.5,327735
The Haunting of Hill House,2018.0,"Drama,Horror,Mystery",8.5,323517
Aspirants,2021.0,Drama,9.1,317437
The White Lotus,2021.0,"Comedy,Drama",8.0,312922
The Umbrella Academy,2019.0,"Action,Adventure,Comedy",7.8,311776
Parks and Recreation,2009.0,Comedy,8.6,311271
Community,2009.0,Comedy,8.5,308882
Moon Knight,2022.0,"Action,Adventure,Fantasy",7.3,306079
Hannibal,2013.0,"Crime,Drama,Horror",8.5,304096
The Bear,2022.0,"Comedy,Drama",8.5,302008
Yellowstone,2018.0,"Drama,Western",8.6,300426
The 100,2014.0,"Action,Drama,Sci-Fi",7.5,300182
Invincible,2021.0,"Action,Adventure,Animation",8.7,299782
Firefly,2002.0,"Adventure,Drama,Sci-Fi",8.9,298961
The Blacklist,2013.0,"Crime,Drama,Mystery",7.9,297813
The Punisher,2017.0,"Action,Crime,Drama",8.4,296216
Two and a Half Men,2003.0,"Comedy,Romance",7.1,295812
The Handmaid's Tale,2017.0,"Drama,Sci-Fi,Thriller",8.3,293263
